,note01,note02,note03,note04,note05,note06,note07,note08,note09,note10
144,69,75,77,0,0,0,0,0,0,0
145,53,57,60,63,0,0,0,0,0,0
146,46,53,56,62,72,0,0,0,0,0
147,50,62,0,0,0,0,0,0,0,0
148,56,72,0,0,0,0,0,0,0,0
149,73,0,0,0,0,0,0,0,0,0
150,51,55,61,76,0,0,0,0,0,0
151,39,51,67,73,75,0,0,0,0,0
152,68,72,80,0,0,0,0,0,0,0
153,43,55,0,0,0,0,0,0,0,0
154,44,56,68,80,0,0,0,0,0,0
155,46,0,0,0,0,0,0,0,0,0
156,53,56,59,0,0,0,0,0,0,0
157,59,62,65,0,0,0,0,0,0,0
158,62,65,68,0,0,0,0,0,0,0
159,65,68,71,0,0,0,0,0,0,0
160,77,83,0,0,0,0,0,0,0,0
161,50,53,56,59,77,83,0,0,0,0
162,50,53,56,59,74,80,0,0,0,0
163,50,53,56,59,71,77,0,0,0,0
164,50,53,56,59,71,74,0,0,0,0
165,68,72,75,0,0,0,0,0,0,0
166,51,56,60,68,72,75,0,0,0,0
167,51,56,60,69,0,0,0,0,0,0
168,53,57,60,63,69,72,79,0,0,0
169,69,72,75,77,0,0,0,0,0,0
170,55,67,72,0,0,0,0,0,0,0
171,45,54,0,0,0,0,0,0,0,0
172,46,55,0,0,0,0,0,0,0,0
173,51,55,58,61,75,87,0,0,0,0
174,39,51,82,0,0,0,0,0,0,0
175,74,86,0,0,0,0,0,0,0,0
176,51,55,58,61,0,0,0,0,0,0
177,49,58,73,85,0,0,0,0,0,0
178,51,55,58,61,82,0,0,0,0,0
179,72,84,0,0,0,0,0,0,0,0
180,43,55,70,82,0,0,0,0,0,0
181,44,56,0,0,0,0,0,0,0,0
182,51,56,60,68,80,0,0,0,0,0
183,39,51,75,0,0,0,0,0,0,0
184,65,77,0,0,0,0,0,0,0,0
185,51,56,60,0,0,0,0,0,0,0
186,51,56,60,75,0,0,0,0,0,0
187,44,53,0,0,0,0,0,0,0,0
188,45,54,66,78,0,0,0,0,0,0
189,51,55,58,61,67,79,0,0,0,0
190,39,51,73,0,0,0,0,0,0,0
191,49,58,67,79,0,0,0,0,0,0
192,51,55,58,61,73,0,0,0,0,0
193,66,78,0,0,0,0,0,0,0,0
194,39,51,70,0,0,0,0,0,0,0
195,43,55,67,79,0,0,0,0,0,0
196,51,56,60,65,77,0,0,0,0,0
197,39,51,72,0,0,0,0,0,0,0
198,64,76,0,0,0,0,0,0,0,0
199,51,56,60,68,0,0,0,0,0,0
200,44,51,65,77,0,0,0,0,0,0
201,44,52,72,0,0,0,0,0,0,0
202,44,53,68,72,77,0,0,0,0,0
203,68,72,0,0,0,0,0,0,0,0
204,45,54,69,72,75,78,0,0,0,0
205,51,55,58,61,79,87,0,0,0,0
206,81,0,0,0,0,0,0,0,0,0
207,78,86,0,0,0,0,0,0,0,0
208,49,58,77,85,0,0,0,0,0,0
209,51,55,58,61,77,85,0,0,0,0
210,43,55,73,82,0,0,0,0,0,0
211,51,56,60,72,80,0,0,0,0,0
212,71,77,0,0,0,0,0,0,0,0
213,44,56,72,80,0,0,0,0,0,0
214,50,59,71,79,0,0,0,0,0,0
215,49,58,70,78,0,0,0,0,0,0
216,48,51,53,57,0,0,0,0,0,0
217,48,51,53,57,69,0,0,0,0,0
218,48,51,53,57,77,0,0,0,0,0
219,49,53,58,70,0,0,0,0,0,0
220,53,58,61,65,77,0,0,0,0,0
221,46,53,56,62,65,72,0,0,0,0
222,46,53,56,70,0,0,0,0,0,0
223,62,65,72,0,0,0,0,0,0,0
224,51,55,61,65,70,0,0,0,0,0
225,44,51,60,63,68,0,0,0,0,0
226,44,52,0,0,0,0,0,0,0,0
227,80,84,89,0,0,0,0,0,0,0
228,45,54,80,84,89,0,0,0,0,0
229,46,55,79,85,87,91,0,0,0,0
230,79,85,87,91,0,0,0,0,0,0
231,45,57,78,84,87,90,0,0,0,0
232,78,84,87,90,0,0,0,0,0,0
233,78,87,90,0,0,0,0,0,0,0
234,46,58,79,85,87,91,0,0,0,0
235,79,85,91,0,0,0,0,0,0,0
236,51,58,61,79,85,87,0,0,0,0
237,46,58,79,85,89,0,0,0,0,0
238,47,59,79,85,87,91,0,0,0,0
239,48,60,80,92,0,0,0,0,0,0
240,51,56,60,80,84,89,0,0,0,0
241,80,84,87,0,0,0,0,0,0,0
242,39,51,80,84,87,0,0,0,0,0
243,51,56,60,80,84,87,89,0,0,0
244,44,51,80,84,87,89,0,0,0,0
245,80,84,0,0,0,0,0,0,0,0
246,44,52,92,0,0,0,0,0,0,0
247,44,53,87,0,0,0,0,0,0,0
248,46,55,79,84,91,0,0,0,0,0
249,79,84,91,0,0,0,0,0,0,0
250,51,55,58,61,79,84,89,0,0,0
251,79,85,87,0,0,0,0,0,0,0
252,39,51,79,85,87,0,0,0,0,0
253,51,55,58,61,79,85,87,91,0,0
254,49,58,79,85,87,91,0,0,0,0
255,79,85,0,0,0,0,0,0,0,0
256,55,58,61,79,85,91,0,0,0,0
257,49,58,79,89,0,0,0,0,0,0
258,50,59,0,0,0,0,0,0,0,0
259,51,56,60,87,96,0,0,0,0,0
260,80,87,0,0,0,0,0,0,0,0
261,72,80,0,0,0,0,0,0,0,0
262,51,55,58,61,79,0,0,0,0,0
263,46,58,73,85,0,0,0,0,0,0
264,51,63,78,0,0,0,0,0,0,0
265,75,79,84,0,0,0,0,0,0,0
266,49,61,73,79,82,0,0,0,0,0
267,48,60,0,0,0,0,0,0,0,0
