,filename,part,staves,max_n_notes
366,The_Entertainer__Scott_Joplin-1902_Arrangement.mscz,part_1,"[1, 2]",6
367,The_entertainer__Scott_Joplin.mscz,part_1,"[1, 2]",5
368,The_Great_Crush_Collision_March_1896_-_Scott_Joplin.mscz,part_1,"[1, 2]",9
369,The_Guinness_Spot__John_Scofield.mscz,part_1,[1],1
370,The_Hummer_Rag.mscz,part_1,[1],4
371,The_Hummer_Rag.mscz,part_2,[2],4
372,The_Maple_Leaf_Rag.mscz,part_1,"[1, 2]",7
373,The_Nonpareil_by_Scott_Joplin_1907.mscz,part_1,"[1, 2]",7
374,The_Press_Club_Rag_by_Axel_Christensen_1912.mscz,part_1,[1],4
375,The_Press_Club_Rag_by_Axel_Christensen_1912.mscz,part_2,[2],4
376,The_Ragtime_Dance-Scott_Joplin-1906_arrangement.mscz,part_1,"[1, 2]",6
377,The_Ragtime_Dance-_song_version-_1902-Scott_Joplin.mscz,part_2,"[2, 3]",6
378,The_Ragtime_Dance_-_Scott_Joplin_-_1906_With_Drum.mscz,part_1,"[1, 2]",6
379,The_Rosebud_March__Scott_Joplin.mscz,part_1,"[1, 2]",6
380,The_Silver_Swan_Rag_-_Piano_Roll_Transcription_-_1914.mscz,part_1,"[1, 2]",14
381,The_Strenuous_Life_-_Scott_Joplin_-_1902.mscz,part_1,"[1, 2]",6
382,The_Webster_Grove_Rag_by_Axel_Christensen_1915.mscz,part_1,"[1, 2]",7
383,The_White_World_of_Winter__Hoagy_Carmichael (1).mscz,part_1,"[1, 2]",8
384,The_White_World_of_Winter__Hoagy_Carmichael (2).mscz,part_1,"[1, 2]",1
385,The_White_World_of_Winter__Hoagy_Carmichael (3).mscz,part_1,"[1, 2]",6
386,The_White_World_of_Winter__Hoagy_Carmichael (4).mscz,part_1,"[1, 2]",7
387,The_White_World_of_Winter__Hoagy_Carmichael (5).mscz,part_1,"[1, 2]",7
388,The_White_World_of_Winter__Hoagy_Carmichael (6).mscz,part_1,"[1, 2]",6
389,The_White_World_of_Winter__Hoagy_Carmichael (7).mscz,part_1,"[1, 2]",5
390,The_White_World_of_Winter__Hoagy_Carmichael.mscz,part_1,"[1, 2]",6
391,The_Wish_Bone.mscz,part_1,"[1, 2]",6
392,This_is_the_Army_Mr._Jones.mscz,part_1,"[1, 2]",6
393,Tiger_Rag__Misc_Traditional_Tiger_Rag_-_Adam_Swanson_Version.mscz,part_1,"[1, 2]",8
394,Tiger_Rag__Misc_Traditional_Tiger_Rag_-_Adam_Swanson_Version.mscz,part_2,"[3, 4]",8
395,Torrid_Dora.mscz,part_1,[1],4
396,Torrid_Dora.mscz,part_2,[2],3
397,Troublant_Bolero.mscz,part_1,[1],1
398,Truckin.mscz,part_1,"[1, 2]",7
399,Tu_scendi_dalle_stelle.mscz,part_1,"[1, 2]",4
400,Twelve_Days_of_Christmas_Lead_sheet_with_lyrics_.mscz,part_1,[1],1
401,Twinkle_twinkle_little_star.mscz,part_1,"[1, 2]",5
402,Vipers_Drag.mscz,part_1,"[1, 2]",8
403,Walhalla_by_Paul_Pratt_1910.mscz,part_1,[1],4
404,Walhalla_by_Paul_Pratt_1910.mscz,part_2,[2],4
405,Walhalla_by_Paul_Pratt_1910.mscz,part_3,[3],0
406,Waltzing_Jim_by_Edward_Claypoole_1922.mscz,part_1,"[1, 2]",8
407,Warm_up_1.mscz,part_1,[1],1
408,Weekend_In_LA_George_Benson_Solo_Transcription.mscz,part_1,[1],3
409,When_the_Saints_Go_Marching_In.mscz,part_1,[1],1
410,when_youve_been_a_jazz_pianist_for_19_years_and_someone_asks_if_you_can_play_twinkle_twinkle.mscz,part_1,"[1, 2]",7
411,Wild_Tom-Tom_as_played_by_Tom_Brier.mscz,part_1,"[1, 2]",8
412,Wireless_Rag_by_Adaline_Shepherd_1909.mscz,part_1,[1],4
413,Wireless_Rag_by_Adaline_Shepherd_1909.mscz,part_2,[2],4
414,Youve_Been_A_Good_Old_Wagon..._-_Ben_Harney_-_1895.mscz,part_2,"[2, 3]",6
415,Youve_changed.mscz,part_1,[1],1
416,You_are_my_sunshine__Misc_Traditional_You_Are_My_Sunshine_Stride_Jazz.mscz,part_1,[1],3
417,You_are_my_sunshine__Misc_Traditional_You_Are_My_Sunshine_Stride_Jazz.mscz,part_2,"[2, 3]",8
418,_-__.mscz,part_1,[1],1
419,__as_played_by___-_MSMT.mscz,part_1,"[1, 2]",8
